     ELUMOASAQ2,  1,"B1",     ELUM-XX-SA
           CELL,  1,"BT1",         CR1225
         0.01uF,  1,"C15",    SM0603_Capa
          0.1uF, 10,"C4 C5 C6 C9 C10 C11 C12 C18 C25 C26",    SM0603_Capa
         0.22uF,  1,"C17",    SM0603_Capa
            1uF,  2,"C8 C13",    SM0603_Capa
          4.7uF,  3,"C16 C20 C22",    SM0603_Capa
           10uF,  7,"C1 C2 C3 C14 C21 C23 C24",    SM0603_Capa
           22uF,  2,"C7 C19",      SM1206POL
            RED,  1,"D1",       LED-0603
           BLUE,  1,"D2",       LED-0603
        USB_SMD,  1,"J1",     Mini-B-USB
          4.7uH,  2,"L1 L2",         NR3012
         CONN_1,  4,"P4 P5 P6 P7",           4-40
      Lipo Batt,  1,"P3",          JST-2
        CONN_14,  1,"P1",         SIL-14
      Lipo Batt,  1,"P2",          SIL-2
            NPN,  1,"Q1",         SOT-23
             75,  1,"R13",         SM0603
            270,  4,"R5 R25 R26 R28",         SM0603
             1k,  1,"R9",         SM0603
             3k,  1,"R17",         SM0603
            10k, 13,"R1 R2 R3 R4 R6 R7 R10 R14 R15 R16 R24 R27 R29",         SM0603
            20k,  2,"R8 R11",         SM0603
           100k,  4,"R18 R19 R21 R23",         SM0603
           230k,  2,"R20 R22",         SM0603
           470k,  1,"R12",         SM0603
        MICROSD,  1,"U3", DM3AT-SF-PEJM5
     FGPMMOPA6H,  1,"U2",     FGPMMOPA6H
     LSM303DLHC,  1,"U4",         LGA-14
         L3GD20,  1,"U5",         LGA-16
         MS5611,  1,"U6",         MS5611
       AT24C512,  1,"U9",         SOIC-8
      74LVC2G07,  1,"U12",       SOT363-6
        PCF8523,  1,"U7",        SOT96-1
        FT232RL,  1,"U11",         SSOP28
       MAX17048,  1,"U8",       TDFN-EP8
        MAX8819,  1,"U10",      TQFN-EP28
     P8X32A-Q44,  1,"U1",         TQFP44
         CM200C,  1,"X2",         CM200C
        CRYSTAL,  1,"X1",        HC-49US
