"Item Number","Manufacturer No.","Manufacturer","Description","Distributor","Distributor No.","Qty","Reference Designator","Cost","Datasheet","Part Notes","URL"
,"PCF8523TK/1,118","NXP Semiconductors","Real Time Clock REAL-TIME CLOCK (RTC) AND CALENDAR","Mouser","771-PCF8523TK/1118","1",,"$0.92","/MobileCatalog.aspx?page=376","","http://www.mouser.com/ProductDetail/NXP/PCF8523TK-1118/?qs=%2fha2pyFadujHIZzLgxdeD9zcpFCvZDBpSBToxIkSyTBZenNe35ZL5weDGnxSzK5V"
,"P8X32A-M44","Parallax","32-bit Microcontrollers - MCU QFN Pkg Propeller Chip","Mouser","619-P8X32A-M44","1",,"$7.99","","","http://www.mouser.com/ProductDetail/Parallax/P8X32A-M44/?qs=sGAEpiMZZMu6TJb8E8Cjr4L8KxI%2fIaCC"
,"AT24C512C-XHM-T","Atmel","EEPROM SERIAL EEPROM 512K (64K X 8) 2WIRE 1.7V","Mouser","556-AT24C512C-XHM-T","1",,"$1.76","http://www.mouser.com/ds/2/36/doc8720-65792.pdf","","http://www.mouser.com/Search/ProductDetail.aspx?R=AT24C512C-XHM-Tvirtualkey99990000virtualkey556-AT24C512C-XHM-T"
,"ABMM-6.000MHZ-B2-T","ABRACON","Crystals 6.000MHz, 18pF 20ppm","Mouser","815-ABMM-6-B2-T","1",,"$1.12","http://www.mouser.com/ds/2/3/ABMM-40073.pdf","","http://www.mouser.com/Search/ProductDetail.aspx?R=ABMM-6.000MHZ-B2-Tvirtualkey52750000virtualkey815-ABMM-6-B2-T"
,"FT232RQ-REEL","FTDI","USB Interface IC USB to Serial UART Enhanced IC QFN-32","Mouser","895-FT232RQ","1",,"$4.50","/MobileCatalog.aspx?page=53","","http://www.mouser.com/Search/ProductDetail.aspx?R=FT232RQ-REELvirtualkey62130000virtualkey895-FT232RQ"
,"DM3AT-SF-PEJM5","Hirose Connector","Memory Card Connectors R/A SMT MICROSD CON PUSH-PUSH TOP BRDMNT","Mouser","798-DM3AT-SF-PEJM5","1",,"$2.66","http://www.mouser.com/ds/2/185/e60900232-38395.pdf","","http://www.mouser.com/Search/ProductDetail.aspx?R=DM3AT-SF-PEJM5virtualkey64550000virtualkey798-DM3AT-SF-PEJM5"
,"47346-0001","Molex","USB Connectors MICRO USB B RECPT BTTM MOUNT ASSY","Mouser","538-47346-0001","1",,"$1.00","/MobileCatalog.aspx?page=1458","","http://www.mouser.com/Search/ProductDetail.aspx?R=47346-0001virtualkey53810000virtualkey538-47346-0001"
,"RN42-I/RM","Roving Networks","Bluetooth / 802.15.1 Modules Class2 Bluetooth Mod v2.0+EDR, w/ Antenna","Mouser","765-RN-42","1",,"$17.65","/MobileCatalog.aspx?page=31","","http://www.mouser.com/ProductDetail/Roving-Networks/RN42-I-RM/?qs=sGAEpiMZZMsGelYiB%252bjhZqarn20KGD8tWEQjYZKXc48%3d"
,"ST2012SB32768H5HPWAA","AVX","Crystals 12.5pF 32.768kHz","Mouser","581-ST2012SB32H5HPWA","1",,"$1.22","/MobileCatalog.aspx?page=1143","","http://www.mouser.com/Search/ProductDetail.aspx?R=ST2012SB32768H5HPWAAvirtualkey58110000virtualkey581-ST2012SB32H5HPWA"
,"KSC941J LFS","C&K Components","Tactile Switches 3.4N J Bend","Mouser","611-KSC941JLFS","1",,"$0.41","/MobileCatalog.aspx?page=1834","","http://www.mouser.com/Search/ProductDetail.aspx?R=KSC941J_LFSvirtualkey61110000virtualkey611-KSC941JLFS"
