Reference, Value, Footprint, Datasheet
U3,MICROSD,DM3AT-SF-PEJM5,DOCUMENTATION
U2,FGPMMOPA6H,FGPMMOPA6H,DOCUMENTATION
X1,CRYSTAL,ECX-53B,
R2,3k,SM0603,
R1,3k,SM0603,
C9,0.1uF,SM0603_Capa,
C10,0.1uF,SM0603_Capa,
C11,0.1uF,SM0603_Capa,
C12,0.1uF,SM0603_Capa,
C8,1uF,SM0603_Capa,
C13,1uF,SM0603_Capa,
C1,10uF,SM0603_Capa,
C2,0.1uF,SM0603_Capa,
C3,10uF,SM0603_Capa,
C14,10uF,SM0603_Capa,
C4,0.1uF,SM0603_Capa,
C5,0.1uF,SM0603_Capa,
C6,0.1uF,SM0603_Capa,
R7,10k,SM0603,
R6,10k,SM0603,
R4,10k,SM0603,
R3,10k,SM0603,
R30,3k,SM0603,
R31,3k,SM0603,
U1,P8X32A-M44,P8X32A-M44,DOCUMENTATION
D5,LED,LED-0603,
R36,270,SM0603,
R35,3k,SM0603,
R34,3k,SM0603,
C7,10uF,SM0603_Capa,
C29,10uF,SM0603_Capa,
R33,10k,SM0603,
R32,270,SM0603,
P3,CONN_2,,
P1,CONN_3,,
P5,CONN_1,,
P6,CONN_1,,
P7,CONN_1,,
P8,CONN_1,,
U6,MS5611,MS5611,DOCUMENTATION
U4,LSM303DLHC,LGA-14,DOCUMENTATION
C17,0.22uF,SM0603_Capa,
U5,L3GD20,LGA-16,DOCUMENTATION
R10,10k,SM0603,
R9,1k,SM0603,
C15,0.01uF,SM0603_Capa,
C16,4.7uF,SM0603_Capa,
U8,MAX17048,TDFN-EP8,DOCUMENTATION
C18,0.1uF,SM0603_Capa,
U7,PCF8523,SOT909-EP,DOCUMENTATION
X2,CRYSTAL,ST2012SB,
U9,AT24C512,-TSSOP8,DOCUMENTATION
C19,22uF,SM0603_Capa,
P4,CONN_2,,
W2,CONN_1,,
W3,CONN_1,,
L1,4.7uH,NR3012,
R20,232k,SM0603,
R21,100k,SM0603,
R11,10k,SM0603,
D1,RED,LED-0603,
D2,BLUE,LED-0603,
R25,270,SM0603,
R26,270,SM0603,
R27,10k,SM0603,
R28,270,SM0603,
C26,0.1uF,SM0603_Capa,
R17,3k,SM0603,
R12,100k,SM0603,
U12,74LVC2G07,SOT363-6,
R24,10k,SM0603,
R29,10k,SM0603,
C20,4.7uF,SM0603_Capa,
C22,4.7uF,SM0603_Capa,
C21,10uF,SM0603_Capa,
C23,10uF,SM0603_Capa,
C25,0.1uF,SM0603_Capa,
L2,4.7uH,NR3012,
R22,232k,SM0603,
R23,100k,SM0603,
C24,10uF,SM0603_Capa,
U10,MAX8819,TQFN-EP28,DOCUMENTATION
P2,Lipo Header,BatteryHeader,
C27,4.7uF,SM0603_Capa,
Q1,NPN,SOT-23,
R19,10k,SM0603,
SW1,SPST,KSC9-J,
D4,LED,LED-0603,
R16,75,SM0603,
R18,75,SM0603,
R13,100k,SM0603,
R14,10k,SM0603,
R15,100k,SM0603,
R8,10k,SM0603,
R5,10k,SM0603,
U11,FT232RQ,FT232RQ,
D3,LED,LED-0603,
J1,USB_MICRO_B_SMD,MOLEX_47346_0001,
U15,RN-41,RN-41,
R40,270,SM0603,
W1,CONN_1,1PIN_S_SMD,
D9,LED,LED-0603,
W4,CONN_1,,
W5,CONN_1,,
W6,CONN_1,,
